SELECTED_CELL,Клітинка:
OPEN,Відкрити
NEW,Новий
SAVE,Зберегти
SAVE_AS,Зберегти як...
PROPPERTIES,Мова
SAVE_LABEL,Зеберегти поточний файл?
CHOOSE_LANGUAGE,Виберіть мову:
YES,Так
NO,Ні
INPUT_FILE_NAME,Впишіть ім'я файлу
REEVALUATE,Ентер
ADD_ROW,Додати рядок
REMOVE_ROW,Видалити рядок
ADD_COLUMN,Додати стовбчик
REMOVE_COLUMN,Видалити стовбчик
OPEN_ERROR,Помилка при відкриванні файлу
ABOUT_LABEL,Про програму
ABOUT_TEXT,Автор - Абдулаєв Андрій. ФКНК; К-24. Лабораторна робота #1. Варіант #11.
HELP_LABEL,Допомога
HELP_TEXT,Щоб ввести вираз у клітинку виберіть її та введіть вираз у поле f(x)=. Програма підтримує арифметичні операції + - * / та ^ (піднесення в степінь); функції від 2 параметрів max() та min() та функціїї від 1 параметру inc() та dec(). Користувач може додати чи видалити рядок або стовбчик відповідними кнопками. Користувач може зберегти таблицю у файл; створити нову таблицю; а також відкрити .csv файл з таблицею.
SAVE_ERROR,Помилка при зберіганні файлу
